Namespace(gpu='0,1,2,3', log_dir='/cluster/home/wueestm/laser/trained_models', its=900000, fov=(45.0, 135.0), fov2='45,135', dataset='zind', dataset_path='/cluster/project/cvg/data/zind/zind/ZInD', D=128, G=32, H=32, dist_max=10, V=16, Vr=64, disable_semantics=False, disable_pointnet=False)
{'Q': 100, 'Q_refine': 20, 'D': 128, 'G': 32, 'H': 32, 'dist_max': 10, 'Vr': 64, 'V': 16, 'disable_semantics': False, 'disable_pointnet': False, 'fov': (45.0, 135.0), 'view_type': 'pview'}
/cluster/project/cvg/data/zind/zind/ZInD
refiner_padding = circular
Before loading train dataloader.
654 samples loaded from <class 'dataset.zind_dataset.ZindDataset'> dataset. (is_training=True)
Before loading val dataloader.
91 samples loaded from <class 'dataset.zind_dataset.ZindDataset'> dataset. (is_training=False)
Dataloaders loaded.
step=83800,  time=830.5min,  loss=0.815936
step=84000,  time=832.5min,  loss=0.911035
step=84200,  time=834.5min,  loss=0.825753
step=84400,  time=836.4min,  loss=1.017004
step=84600,  time=838.4min,  loss=0.799119
step=84800,  time=840.4min,  loss=0.801300
step=85000,  time=842.4min,  loss=1.000899
step=85200,  time=844.3min,  loss=0.845423
step=85400,  time=846.3min,  loss=1.055064
step=85600,  time=848.3min,  loss=0.939092
step=85800,  time=850.3min,  loss=0.890618
step=86000,  time=852.3min,  loss=0.969394
step=86200,  time=854.3min,  loss=0.983693
step=86400,  time=856.2min,  loss=1.121240
step=86600,  time=858.2min,  loss=0.947919
step=86800,  time=860.2min,  loss=0.833197
step=87000,  time=862.2min,  loss=0.893705
step=87200,  time=864.1min,  loss=0.992071
step=87400,  time=866.1min,  loss=1.107331
step=87600,  time=868.1min,  loss=0.876512
step=87800,  time=870.1min,  loss=1.077520
step=88000,  time=872.1min,  loss=0.861360
step=88200,  time=874.0min,  loss=0.973486
step=88400,  time=876.0min,  loss=1.049766
step=88600,  time=878.0min,  loss=1.002050
step=88800,  time=880.0min,  loss=0.949385
step=89000,  time=882.0min,  loss=1.330428
step=89200,  time=884.0min,  loss=0.848236
step=89400,  time=885.9min,  loss=0.882763
step=89600,  time=888.0min,  loss=1.181990
step=89800,  time=889.9min,  loss=0.869918
